Person ID,Name,Birth Year,Death Year,Coronation Year,Title
266,Augustus Charles Frederick/FitzGeorge/,1847,1933,,Col. 11th Hussars
267,Rosa Fredericka /Baring/,1854,1927,,
268,George William Fredrick/FitzGeorge/,1892,1960,,Commander RN
269,Mabel Iris /FitzGeorge/,1886,,
270,George Daphn\x82 /FitzGeorge/,1889,1954,,Red Cross Nurse
271,Frederick William /von Mecklenburg/,1819,1904,1860,Grand Duke of Mecklenburg
272,George V /von Mecklenburg-Strelitz/,1848,1914,1904,Grand Duke of Mecklenburg
273,Elizabeth Marie of/Anhalt/,1857,1933,,Princess
274,Adolphus Frederick VI/von Mecklenburg/,1882,1918,1914,Grand Duke of Mecklenburg
275,Charles Borwin /von Mecklenburg/,1888,1908,,
276,Victoria Marie /von Mecklenburg/,1878,1948,,
277,Augusta Charlotte Jutta/von Mecklenburg/,1880,1946,,
278,Adolphus II of Teck/Cambridge/,1868,1927,,Duke of Teck
279,Francis Joseph Leopold Frederick of/Teck/,1870,1910,,PrinceMajor Dragoons
280,Alexander George of Teck/Cambridge/,1874,1957,1917,Earl of Athlone 1st
281,Margaret Evelyn /Grosvenor/,1873,1929,,Lady
282,George Francis Hugh/Cambridge/,1895,1981,1927,Marquess of Cambridge
283,Frederick Charles Edward/Cambridge/,1907,1940,,Capt. Coldstream Guards
284,Victoria Constance Mary/Cambridge/,1897,1987,,Lady
285,Helena  /Cambridge/,1899,1969,,Lady
286,Edward II of Caernarvon/_____/,1284,1327,1308,King of England
287,Rupert Alexander George/Cambridge/,1907,1928,,Vicount Trematon
288,Maurice Francis George/Cambridge/,1910,1910,,Prince of Teck
289,May Helen Emma/Cambridge/,1906,1994,,Lady
290,William Frederick of Gloucester/Hanover/,1776,1834,1805,Duke of Gloucester 2nd
291,Gerald David /Lascelles/,1924,Hon.,
292,Marion (Maria) Donata Nanetta/Stein/,1926,Countess,
293,David Henry George/Lascelles/,1950,Viscount Lascelles,
294,James Edward /Lascelles/,1953,Hon.,
295,(Robert) Jeremy Hugh/Lascelles/,1955,Hon.,
296,Angela  /Dowding/,1919,,
297,Henry Ulick /Lascelles/,1953,,
298,William X of/Hesse-Cassel/,1787,1867,,Landgrave of Hesse
299,Louise Charlotte of Denmark/Oldenburg/,1789,1864,,Princess
300,Frederick William of/Hesse-Cassel/,1820,1884,,Landgrave of Hesse
301,Frederick III /von Hessen-Cassel/,1747,1837,,Landgrave of Hesse-Castel
302,Caroline Polyxena of/Nassau-Usingen/,1762,1823,,Princess
303,Alexander  /von W\x81rttemberg/,1804,1885,,Duke of W\x81rtemberg
304,Claudine  /von Kis-Rh\x82de/,1812,1841,,Countess Rhedey
305,Claudine  /von Teck/,1836,1894,,Princess of Teck
306,Amelie  /von Hohenstein/,1838,1893,,Princess of Teck
307,Paul  /von Hugel/,1835,1897,,Baron von H\x81gel
308,Paul  /von Hugel/,1872,1912,,Count
309,Ferdinand I of/Hohenzollern-Sigmaringen/,1865,1927,1914,King of Romania
310,Christian Victor /von Schleswig-Holstein/,1867,1900,,Prince
311,Albert John /von Schleswig-Holstein/,1869,1931,1921,Duke Schleswig-Holstein
312,Helena Victoria /von Schleswig-Holstein/,1870,1948,,Princess
313,Frederick Harold /von Schleswig-Holstein/,1876,1876,,Prince
314,Patricia Elizabeth /Tuckwell/,1926,,
315,Mark Hubert /Lascelles/,1964,Hon.,
316,Elizabeth Evelyn /Collingwood/,1924,,
317,Davina Elizabeth Alice/Windsor/,1977,Lady,
318,Rose Victoria Birgitte/Windsor/,1980,Lady,
319,Marie-Christine  /von Reibnitz/,1945,Baroness,
320,Frederick Michael George David/Windsor/,1979,Lord,
321,George II Augustus/Hanover/,1683,1760,1727,King of Britain
322,Wilhelmina-Caroline  /von Brandenburg/,1683,1737,1727,
323,Frederick Louis /Hanover/,1707,1751,1729,Prince of Wales
324,Anne  /Hanover/,1709,1759,1727,Princess Royal
325,Amelia Sophia Eleanor/Hanover/,1711,1786,,
326,Caroline Elizabeth /Hanover/,1713,1759,,
327,Son  /Hanover/,1716,1716,,
328,George William /Hanover/,1717,1718,,
329,William Augustus of Cumberland/Hanover/,1721,1765,1726,Duke of Cumberland
330,Mary  /Hanover/,1723,1772,,
331,Louisa  /Hanover/,1724,1751,,
332,Augusta of /Saxe-Gotha/,1719,1772,,
333,Augusta  /Hanover/,1737,1813,,Princess Royal
334,Edward Augustus /Hanover/,1739,1767,1760,Duke of York
335,Elizabeth Caroline /Hanover/,1740,1759,,
336,William Henry of Gloucester/Hanover/,1743,1805,1764,Duke of Gloucester 1
337,Henry Frederick of Cumberland/Hanover/,1745,1790,1767,Duke of Cumberland
338,Louisa Anne /Hanover/,1749,1768,,
339,Frederick William /Hanover/,1750,1765,,
340,Caroline Matilda /Hanover/,1751,1775,1767,Princess
341,George I Louis/Hanover/,1660,1727,1714,King of Britain
342,Sophia Dorothea of/Brunswick-L\x81neburg/,1666,1726,,Duchess Brunswick-L\x81nebur
343,Sophia Dorothea /Hanover/,1687,1757,,
344,Frederick V of Denmark/Oldenburg/,1723,1766,1746,King of Denmark
345,Frederick William of/Schleswig-Holstein/,1785,1831,1816,Duke Schleswig-Holstein
346,Louise Caroline /von Hessen-Cassel/,1789,1867,,Princess
347,Alexander of the Rhine/von Hessen/,1823,1888,,Prince of Hesse
348,Julia of Battenberg/Hauke/,1825,1895,1851,Princess of Battenberg
349,Louis II of the Rhine/von Hessen/,1777,1848,1830,Grand Duke of Hesse
350,Wilhelmina  /von Baden/,1788,1836,,Princess of Baden
351,John (Hans) Maurice/Hauke/,1775,1830,,Count
352,Sophie la /Fontaine/,1790,1831,,
353,Constantine Nikolaievitch /Romanov/,1827,1892,,Grand Duke of Russia
354,Elizabeth Alexandra of/Saxe-Altenburg/,1830,1911,,Princess
355,Joseph of /Saxe-Altenburg/,1789,1868,,Duke of Saxe-Altenburg
356,Amalie  /von W\x81rttemberg/,1799,1848,,Duchess
357,Charles  /von Hessen/,1809,1877,,Prince
358,Elizabeth of Prussia/Hohenzollern/,1815,1885,,Princess of Prussia
360,William Charles A./Cavendish-Bentinck/,1780,1826,,Lord Lt-Col Army
361,Anne  /Wellesley/,1788,1875,,form. Lady Abdy
362,Edwyn  /Burnaby/,1799,1867,,Captain JP
363,Anne Caroline /Salisbury/,1806,1881,,
364,Oswald  /Smith/,1794,1863,,
365,Henrietta Mildred /Hodgson/,,
366,Albert Edward John/Spencer/,1892,1975,1922,Earl of Spencer 7th
367,Cynthia Elinor Beatrix/Hamilton/,1897,1972,,Lady
368,Edmund Maurice Burke/Roche/,1885,1955,1920,Baron Fermoy 4th
369,Ruth Sylvia /Gill/,1908,1993,,Lady Fermoy
370,James Boothby Burke/Roche/,1851,1920,1920,Baron Fermoy 3rd
371,Frances Ellen /Work/,1857,1947,,
372,Frank  /Work/,1819,1911,,
373,Ellen  /Wood/,1831,1877,,
374,John  /Wood/,1785,1848,,
375,Ellen  /Strong/,1802,1863,,
376,John  /Work/,,
377,Sarah  /Boude/,,
378,Edmund Burke /Roche/,1815,1874,1856,Baron Fermoy 1st
379,Elizabeth Caroline /Boothby/,1821,1897,,
380,James Brownell /Boothby/,1791,1850,,
381,Charlotte  /Cunningham/,,1893,,
382,Edward  /Roche/,,1855,,
383,Margaret Honoria /Curtain/,,1862,,
384,James Albert Edward/Hamilton/,1869,1953,1913,Duke of Abercorn 3rd
385,Rosalind Cecilia Caroline/Bingham/,1869,1958,,Lady
386,James  /Hamilton/,1838,1913,1885,Duke of Abercorn 2nd
387,Mary Anna /Curzon-Howe/,1848,1929,,Lady
388,George  /Bingham/,1830,1914,1888,Earl of Lucan 4th
389,Cecilia Catherine /Gordon-Lennox/,1838,1910,,Lady
390,William Smith /Gill/,1865,1957,,Col.
391,Ruth  /Littlejohn/,1879,1964,,
392,Alexander Ogston /Gill/,1833,1908,,
393,Barbara Smith /Marr/,1843,,
394,David  /Littlejohn/,1841,1924,,
395,Jane  /Crombie/,1843,1917,,
396,Charles Robert /Spencer/,1857,1922,1910,Earl of Spencer 6th
397,Margaret  /Baring/,1868,1906,,Hon.
398,Frederick  /Spencer/,1798,1857,1845,Earl of Spencer 4th
399,Adelaide Horatia Elizabeth/Seymour/,1825,1877,,
400,Edward Charles /Baring/,1828,1897,1885,Baron Revelstoke 1st
401,Louisa Emily Charlotte/Bulteel/,1839,1892,,
402,Augusta Victoria /von Schleswig-Holstein/,1858,1921,,
403,Bernard III of/Saxe-Meiningen/,1851,1928,1914,Duke of Saxe-Meiningen
404,Adolf of /Schaumburg-Lippe/,1859,1916,,Prince
405,Constantine I /Schleswig-Holstein/,1868,1923,1913,King of Greece
406,Frederick Charles /von Hessen/,1868,1940,,Landgrave of Hesse
407,Victoria Adelheid /von Schleswig-Holstein/,1885,1970,,Princess Schleswig-Holste
408,Irene Frances Adza/Denison/,1890,1956,,Lady
409,Alfonso XIII of Spain/de Bourbon/,1886,1941,1886,King of Spain
410,Louise of /Mecklenburg-Strelitz/,1776,1810,,
411,Frederick William IV/Hohenzollern/,1795,1861,1840,King of Prussia
412,William I of Germany/Hohenzollern/,1797,1888,1871,Emperor of Germany
413,Frederica  /Hohenzollern/,1799,1800,,
414,Charles  /Hohenzollern/,1801,1883,,
415,Charles Augustus /Brunswick-Wolfenb\x81ttel/,1766,1806,,Prince
416,Ferdinand  /Hohenzollern/,1804,1806,,
418,Albert of Prussia/Hohenzollern/,1809,1872,,Prince of Prussia
419,Hermine of /Reuss/,1887,1947,,Princess
420,Frederick William /Hohenzollern/,1882,1951,1888,Crown Prince of Germany
