movie_id,person_id,character,credit_id
76600,204,Ronal,59d467fdc3a368459400f2de
76600,8691,Neytiri,52fe4943c3a368484e122b4d
76600,65731,Jake Sully,52fe4943c3a368484e122b49
76600,10205,Grace Augustine,52fe4943c3a368484e122b51
76600,566331,Varang,5949ec61925141456a004892
76600,32747,Miles Quaritch,54d9ff969251410a36001935
76600,7248,Tonowari,5935943ec3a3684789000402
76600,1771,Parker Selfridge,59e11141c3a3683670002a73
76600,30485,Moat,5989fe1bc3a36874f201aa2f
76600,59231,Norm Spellman,5989fe26c3a368755f01abd4
76600,98215,Corporal Lyle Wainfleet,5989fe3f9251414bb4019aa4
76600,1895788,Tuktirey of the Sully Family,59cbed3cc3a36877610161c9
76600,1663672,Lo’ak,59cbe0159251412b8b0159c1
76600,1729393,Neteyam,59cbe0c1c3a368773d016705
76600,1895760,Javier “Spider” Socorro,59cbdee9c3a368774e011f32
76600,1632658,Aonung,59cbe0a09251412bd901466e
76600,1615098,Rotxo,59cbe15ac3a36877a9014373
76600,1896363,Tsireya,59cd370192514157e1000ee9
166426,85,Captain Jack Sparrow,52fe4c9cc3a36847f8236a53
166426,3810,Captain Armando Salazar,54db4949c3a368122d0017fe
166426,118,Captain Hector Barbossa,54e44e5ec3a368454b00a02f
166426,1017347,Henry Turner,54db49359251415a0d0012a0
166426,115150,Carina Smyth,54db493e925141618f00189a
166426,2449,Joshamee Gibbs,54e44e31c3a368087b004b56
166426,1115,Scrum,54e44e4fc3a3684897002c08
166426,1371,Scarfield,57f68ea49251413616007300
166426,229932,Shansa,54e44e0cc3a3685756009e87
166426,114,Will Turner,554768e292514119e00065f8
166426,4030,Marty,554769499251411147001bcb
166426,1714,Mullroy,57e2922bc3a36808b900c1a3
166426,1193833,Cremble,55476961c3a3680ce80091da
166426,1355191,Bollard,57f68ea7925141360100754f
166426,1713,Murtogg,57e29210c3a3680a110056ca
166426,1819920,Pike,591f7a46c3a368723d03b63b
166426,10215,Uncle Jack,57e291cf92514118f700625d
166426,116,Elizabeth Swann,58f708cf9251415dec00953a
166426,1772106,Young Jack Sparrow,59338b3dc3a3685a35016ca6
166426,1828139,Young Henry Turner,59338b66c3a36859de01633a
166426,1089049,Lieutenant Lesaro,591f7a8cc3a368799b037a0a
